disciplina,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
60hs,7.74,,7.74,e,GHEDINA Vittorio,2004,PM,ATLETICA MENEGHINA,1 fi- 1,Ancona,2025-02-02,https://www.fidal.it/atleta/GHEDINA-Vittorio/eKmRlJagbGY%3D,https://www.fidal.it/societa/ATLETICA-MENEGHINA/MI770
60hs,7.86,,7.86,e,GIACALONE Nicolo',1997,SM,ASD ATLETICA BIOTEKNA,1 fi- 1,Gent,2025-02-01,https://www.fidal.it/atleta/GIACALONE-Nicolo-/f6yRkpama2w%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
60hs,7.88,,7.88,e,MULAS Oliver,2004,PM,ATHLETIC CLUB 96 ALPERIA,1 fi- 1,Modena,2025-01-25,https://www.fidal.it/atleta/MULAS-Oliver/daqRkpOkaWM%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-ALPERIA/BZ066
60hs,7.89,,7.89,e,OKOLUKU Daniel oliseh,2004,PM,C.B.A. CINISELLO BALSAMO ATL.,2 fi- 1,Ancona,2025-02-02,https://www.fidal.it/atleta/OKOLUKU-Daniel-oliseh/dq2RlpakbWo%3D,https://www.fidal.it/societa/C-B-A--CINISELLO-BALSAMO-ATL-/MI307
60hs,7.89,,7.89,e,TRIOLO Tommaso,2005,PM,G.S. FIAMME ORO PADOVA,3 fi- 1,Ancona,2025-02-02,https://www.fidal.it/atleta/TRIOLO-Tommaso/eKqRkpaocWk%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
60hs,8.01,,8.01,e,FILPI Giuseppe,2001,SM,G.S. AVIS BARLETTA A.S.D.,5 ba- 1,Sabadell,2025-01-10,https://www.fidal.it/atleta/FILPI-Giuseppe/gK2RkpOfbGY%3D,https://www.fidal.it/societa/G-S--AVIS-BARLETTA-A-S-D-/BA754
60hs,8.08,,8.08,e,CARUGATI Alessandro,2004,PM,ATL. O.S.A. SARONNO LIB.,1 ba- 3,Ancona,2025-02-02,https://www.fidal.it/atleta/CARUGATI-Alessandro/drKRk5WiaGU%3D,https://www.fidal.it/societa/ATL--O-S-A--SARONNO-LIB-/VA119
60hs,8.09,,8.09,e,LEGNANI Riccardo,2003,PM,CUS PRO PATRIA MILANO,2 ba- 4,Ancona,2025-02-02,https://www.fidal.it/atleta/LEGNANI-Riccardo/dq2Rl5mmbGM%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077
60hs,8.1,,8.10,e,COREN Simone,2003,PM,ATLETICA MALIGNANI LIBERTAS UD,5 fi- 1,Ancona,2025-02-02,https://www.fidal.it/atleta/COREN-Simone/eayRk5ehcGk%3D,https://www.fidal.it/societa/ATLETICA-MALIGNANI-LIBERTAS-UD/UD030
60hs,8.18,,8.18,e,DE PAOLI Federico,2002,SM,ANA ATL.FELTRE,2 ba- 1,Bergamo,2025-02-02,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
60hs,8.18,,8.18,e,BENUZZI Enrico,2002,SM,A.S.D. PONTEVECCHIO BOLOGNA,1 ba- 1,Bergamo,2025-02-02,https://www.fidal.it/atleta/BENUZZI-Enrico/eqmRkpWoa2g%3D,https://www.fidal.it/societa/A-S-D--PONTEVECCHIO-BOLOGNA/BO506
60hs,8.18,,8.18,e,CAIANI Andrea,2003,PM,TEAM-A LOMBARDIA,2 ba- 2,Ancona,2025-02-02,https://www.fidal.it/atleta/CAIANI-Andrea/dq2RlJmka2s%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
60hs,8.22,,8.22,e,PIAZZALUNGA Federico,2000,SM,ATL. BERGAMO 1959 ORIOCENTER,1 su- 1,Bergamo,2025-01-19,https://www.fidal.it/atleta/PIAZZALUNGA-Federico/dqmRl5ujb2Y%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003
60hs,8.24,,8.24,e,ROSSI Ernesto,2004,PM,ATLETICA PERUGIA TEAM SSD A RL,2 ba- 5,Ancona,2025-02-02,https://www.fidal.it/atleta/ROSSI-Ernesto/fqmRkpuicWw%3D,https://www.fidal.it/societa/ATLETICA-PERUGIA-TEAM-SSD-A-RL/PG109
60hs,8.24,,8.24,e,LANZINI Daniele,2005,PM,BERGAMO STARS ATLETICA,2 ba- 1,Ancona,2025-02-02,https://www.fidal.it/atleta/LANZINI-Daniele/drGRkpOncGk%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
60hs,8.25,,8.25,e,ZAMPESE Giacomo,2000,SM,ASD ATLETICA BIOTEKNA,1 fi- 1,Padova,2025-01-25,https://www.fidal.it/atleta/ZAMPESE-Giacomo/eK6RkpaiaGY%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
60hs,8.26,,8.26,e,KALOGHLIAN Tobias francisco,2001,SM,ITALIA,3 fi- 1,Mannheim,2025-01-12,https://www.fidal.it/atleta/KALOGHLIAN-Tobias-francisco/i7AAARkpKfa2c%3D,https://www.fidal.it/societa/ITALIA/NN001
60hs,8.26,,8.26,e,ALGERI Thomas,2005,PM,ATL. REGGIO ASD,3 ba- 1,Ancona,2025-02-02,https://www.fidal.it/atleta/ALGERI-Thomas/erGRkpWfams%3D,https://www.fidal.it/societa/ATL--REGGIO-ASD/RE128
60hs,8.28,,8.28,e,GATTO Andy,1999,SM,A.S.D. ATLETICA ROATA CHIUSANI,1 fi- 1,Lyon,2025-01-19,https://www.fidal.it/atleta/GATTO-Andy/dKyRlJOibms%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-ROATA-CHIUSANI/CN020
60hs,8.29,,8.29,e,CORRADIN Pietro,2005,PM,C.U.S. PADOVA,3 ba- 5,Ancona,2025-02-02,https://www.fidal.it/atleta/CORRADIN-Pietro/eKqRk5KfaWw%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
110hs,13.05,+0.6,13.05,e,SIMONELLI Lorenzo ndele,2002,PM,C.S. ESERCITO,1 fi- 1,Roma,2024-06-08,https://www.fidal.it/atleta/SIMONELLI-Lorenzo-ndele/f6yRkpqnbGg%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
110hs,13.62,-1.3,13.62,e,FOFANA Hassane,1992,SM,G.S. FIAMME ORO PADOVA,2 fi- 1,La Spezia,2024-06-29,https://www.fidal.it/atleta/FOFANA-Hassane/dqqRlpujbGU%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
110hs,13.73,+0.2,13.73,e,TOGNI Matteo,2006,JM,BERGAMO STARS ATLETICA,6 fi- 1,Ginevra,2024-06-22,https://www.fidal.it/atleta/TOGNI-Matteo/dqmRmZSoa2c%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
110hs,13.91,+2.0,13.91,e,SOMMACAL Alessio,2001,SM,A.S. DIL. MILONE,5 fi- 1,Azusa,2024-05-11,https://www.fidal.it/atleta/SOMMACAL-Alessio/eKmRlJOlbmw%3D,https://www.fidal.it/societa/A-S--DIL--MILONE/SR128
110hs,13.98,+2.0,13.98,e,NAIDON Lorenzo,1999,SM,G.A. FIAMME GIALLE,1 se- 2,Camerino,2024-09-21,https://www.fidal.it/atleta/NAIDON-Lorenzo/d6iRk5imbGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
110hs,14.07,-1.3,14.07,e,TANO Leonardo,1999,SM,ATLETICA MENEGHINA,7 fi- 1,La Spezia,2024-06-29,https://www.fidal.it/atleta/TANO-Leonardo/dq2Rm5WicWU%3D,https://www.fidal.it/societa/ATLETICA-MENEGHINA/MI770
110hs,14.22,+0.4,14.22,e,DENTATO Damiano,2004,PM,ATL.STUD. RIETI ANDREA MILARDI,1 ba- 3,Bruxelles,2024-05-26,https://www.fidal.it/atleta/DENTATO-Damiano/f62RkpenaWU%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223
110hs,14.28,+1.3,14.28,e,DESTER Dario,2000,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Roma,2024-06-11,https://www.fidal.it/atleta/DESTER-Dario/dqiSl5akbGs%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
110hs,14.4,+1.2,14.40,e,ESCALONA Kyan daniel duffy,2007,AM,A.S.D. KRONOS ROMA,1 se- 1,Rieti,2024-05-11,https://www.fidal.it/atleta/ESCALONA-Kyan-daniel-duffy/f6yRlZelamw%3D,https://www.fidal.it/societa/A-S-D--KRONOS-ROMA/RM071
110hs,14.4,-1.3,14.40,e,BOVO Federico,2003,PM,ASD ATLETICA BIOTEKNA,1 se- 2,Auburn,2024-04-20,https://www.fidal.it/atleta/BOVO-Federico/eKqRkpeoamc%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
